year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2012,Bolivia,ARG,Argentina,0,15.5,1,0,1,0,1,22.57,-0.4,0.127,0,1,289.92831,283.6968,333.5488,273.5706,280.5811,278.2443,25.1405,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.92,1,2,2,1,1,33.76,-2.07,0.635,0,1,342.35083,336.1193,343.1298,365.719,315.867,350.9191,92.4879,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2009,Bolivia,ARG,Argentina,1,15.25,0,0,1,0,1,28,-1.604799986,0.565797985,1,0,449.06601,418.3800049,426.9400024,468.230011,451.0899963,480.6900024,30.26799965,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3203,,3203,
2012,Bolivia,ARG,Argentina,1,16,1,0,0,1,1,22.57,-2.46,0.127,0,1,341.10452,357.7738,355.437,317.269,311.0375,364.0053,17.6896,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,16,1,1,1,1,1,43,-1.604799986,0.539205015,0,1,254.564,297.5599976,303.0100098,202.5299988,243.8200073,225.8999939,107.7779007,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,15.75,0,2,1,0,1,22.57,-0.4,0.539,0,0,445.48215,455.9199,408.4047,457.4778,458.2567,447.3516,17.3107,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,0,16,0,1,0,0,1,36,-1.144400001,0.48743698,0,0,355.82599,379.1900024,311.4299927,344.1400146,359.7200012,384.6499939,61.85630035,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,3204,
2012,Bolivia,ARG,Argentina,0,16.17,0,2,0,1,1,21.24,-1.67,0.333,0,1,296.86087,327.3952,242.491,286.8905,339.0793,288.4484,10.3734,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.42,1,1,1,0,1,22.57,-2.07,0,0,1,373.58621,309.8691,424.373,369.8473,383.8682,379.9735,18.2885,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.58,1,,5,1,,47.83,-1.22,0.555,1,0,428.42343,416.8952,433.2528,441.0422,405.99,444.9369,87.3107,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,,ARG0004
2012,Bolivia,ARG,Argentina,0,15.75,1,0,1,1,1,79.74,-1.74,0,0,1,337.36566,295.6146,364.1611,309.6355,351.6981,365.719,25.9916,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.75,0,4,4,0,1,28.97,-1.73,0.547,0,0,341.80557,351.9318,350.3739,334.7951,327.0058,344.9213,101.0235,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2012,Bolivia,ARG,Argentina,1,16.08,1,5,0,0,1,43.19,-2.46,0,0,1,239.92055,216.3966,245.9963,276.3748,251.4488,209.3862,18.2885,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
